id,full_name,salary
984,Cesaro Jurczyk,2300
985,Jasmine De Minico,1286
986,Donal Ruske,2194
987,Alverta Ilyushkin,3427
988,Valeda Jarred,1288
989,Darb Fitchett,1335
990,Sumner Boc,3195
991,Wyatt Hartopp,883
992,Golda Loosley,3467
993,Randa Ferronel,1497
994,Justine Buret,2414
995,Kristine Windmill,3432
996,Joannes Atcherley,2845
997,Darya Millar,2230
998,Hermine Denacamp,2777
999,Thurston Weadick,2752
1000,Ronica Ceeley,2363
